"66","СИДОРОВ","1.01","0.1","0.12","0.2","0.29","0.1","0.2"
"67","ОСИПОВ","0.99","0.04","0.24","0.24","0.24","0.04","0.19"
"68","БЕЛОУСОВ","0.99","0.04","0.52","0.11","0.08","0.14","0.1"
"69","ФЕДОТОВ","0.98","0.12","0.22","0.24","0.24","0.03","0.13"
"70","ДОРОФЕЕВ","0.99","0.01","0.05","0.04","0.83","0.01","0.05"
"71","ЕГОРОВ","0.96","0.11","0.19","0.39","0.05","0.05","0.17"
"72","МАТВЕЕВ","0.95","0.05","0.05","0.28","0.34","0.05","0.18"
"73","БОБРОВ","0.96","0.31","0.42","0.13","0.04","0.03","0.03"
"74","ДМИТРИЕВ","0.93","0.09","0.15","0.3","0.05","0.16","0.18"
"75","КАЛИНИН","0.94","0.15","0.35","0.11","0.17","0.11","0.05"
"76","АНИСИМОВ","0.91","0.01","0.17","0.1","0.25","0.19","0.19"
"77","АНТОНОВ","0.9","0.07","0.22","0.24","0.18","0.04","0.15"
"78","ТИМОФЕЕВ","0.91","0.07","0.33","0.31","0.01","0.08","0.11"
"79","НИКИФОРОВ","0.9","0.02","0.18","0.22","0.41","0.04","0.03"
"80","ВЕСЕЛОВ","0.88","0.66","0.16","0.03","0.01","0","0.02"
"81","ФИЛИППОВ","0.84","0.12","0.2","0.22","0.09","0.04","0.17"
"82","МАРКОВ","0.82","0.05","0.3","0.11","0.17","0.14","0.05"
"83","БОЛЬШАКОВ","0.8","0.46","0.17","0.03","0.12","0","0.02"
"84","СУХАНОВ","0.79","0.04","0.18","0.01","0.38","0.1","0.08"
"85","МИРОНОВ","0.77","0.09","0.16","0.27","0.08","0.04","0.13"
"86","ШИРЯЕВ","0.78","0.26","0.03","0.02","0.32","0.04","0.11"
"87","АЛЕКСАНДРОВ","0.77","0.15","0.2","0.25","0.03","0.05","0.09"
"88","КОНОВАЛОВ","0.76","0.28","0.24","0.1","0.03","0.06","0.05"
"89","ШЕСТАКОВ","0.76","0.12","0.05","0.02","0.4","0.1","0.07"
"90","КАЗАКОВ","0.75","0.09","0.05","0.26","0.11","0.06","0.18"
"91","ЕФИМОВ","0.74","0.06","0.15","0.33","0.01","0.08","0.11"
"92","ДЕНИСОВ","0.74","0.04","0.11","0.15","0.24","0.1","0.1"
"93","ГРОМОВ","0.73","0.39","0.2","0.09","0.01","0.01","0.03"
"94","ФОМИН","0.74","0.07","0.17","0.15","0.05","0.14","0.16"
"95","ДАВЫДОВ","0.72","0.02","0.13","0.26","0.08","0.09","0.14"
"96","МЕЛЬНИКОВ","0.71","0.04","0.3","0.09","0.02","0.12","0.14"
"97","ЩЕРБАКОВ","0.71","0.07","0.2","0.23","0.02","0.14","0.05"
"98","БЛИНОВ","0.72","0.1","0.39","0.07","0.06","0.04","0.06"
"99","КОЛЕСНИКОВ","0.7","0.07","0.09","0.06","0.01","0.38","0.09"
"100","КАРПОВ","0.69","0.08","0.15","0.22","0.14","0.02","0.08"
"101","АФАНАСЬЕВ","0.7","0.13","0.07","0.24","0.03","0.1","0.13"
"102","ВЛАСОВ","0.7","0.11","0.12","0.09","0.15","0.09","0.14"
"103","МАСЛОВ","0.69","0.06","0.1","0.13","0.16","0.17","0.07"
"104","ИСАКОВ","0.68","0.07","0.13","0.05","0.35","0.03","0.05"
"105","ТИХОНОВ","0.69","0.09","0.12","0.2","0.08","0.04","0.16"
"106","АКСЁНОВ","0.67","0.08","0.07","0.04","0.29","0.06","0.13"
"107","ГАВРИЛОВ","0.66","0.02","0.17","0.22","0.04","0.05","0.16"
"108","РОДИОНОВ","0.65","0.02","0.13","0.08","0.3","0.03","0.09"
"109","КОТОВ","0.66","0.07","0.14","0.23","0.05","0.08","0.09"
"110","ГОРБУНОВ","0.65","0.06","0.11","0.04","0.11","0.07","0.26"
"111","КУДРЯШОВ","0.64","0.33","0.16","0.09","0.01","0","0.05"
"112","БЫКОВ","0.65","0.06","0.1","0.07","0.22","0.07","0.13"
"113","ЗУЕВ","0.65","0.05","0.03","0.31","0.17","0.03","0.06"
"114","ТРЕТЬЯКОВ","0.65","0.02","0.1","0.01","0.31","0.04","0.17"
"115","САВЕЛЬЕВ","0.64","0.04","0.25","0.14","0.04","0.04","0.13"
"116","ПАНОВ","0.64","0.16","0.08","0.1","0.17","0.06","0.07"
"117","РЫБАКОВ","0.63","0.09","0.36","0.1","0.01","0.01","0.06"
"118","СУВОРОВ","0.63","0.23","0.16","0.06","0.03","0.04","0.11"
"119","АБРАМОВ","0.63","0.08","0.09","0.09","0.18","0.06","0.13"
"120","ВОРОНОВ","0.62","0.15","0.23","0.1","0.06","0.07","0.01"
"121","МУХИН","0.61","0.24","0.21","0.06","0.01","0.05","0.04"
"122","АРХИПОВ","0.6","0.09","0.24","0.09","0.08","0.03","0.07"
"123","ТРОФИМОВ","0.6","0.05","0.19","0.09","0.12","0.02","0.13"
"124","МАРТЫНОВ","0.58","0.03","0.04","0.18","0.11","0.1","0.12"
